Number of Vehicles,Accident Date,Time (24hr),Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle,Accident Year,Age Group of Casualty,Time Period
2,2009-01-20,800,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,39,Pedal cycle,2009,Adult,Daytime
1,2009-01-20,630,Frost / Ice,Darkness: street lights present and lit,Other,Driver,Slight,Male,34,Bus or coach (17 or more passenger seats),2009,Adult,Daytime
1,2009-01-20,2140,Frost / Ice,Darkness: no street lighting,Fine without high winds,Driver,Slight,Male,26,Car,2009,Adult,Night
1,2009-01-21,1030,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,45,Bus or coach (17 or more passenger seats),2009,Adult,Daytime
1,2009-01-21,100,Frost / Ice,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,35,Goods vehicle 3.5 tonnes mgw and under,2009,Adult,Midnight
1,2009-01-21,1820,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Pedestrian,Serious,Male,20,Car,2009,Adult,Night
2,2009-01-21,715,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,43,Motorcycle over 500cc,2009,Adult,Daytime
2,2009-01-21,1855,Wet / Damp,Darkness: street lighting unknown,Other,Driver,Slight,Female,33,Car,2009,Adult,Night
3,2009-01-21,1425,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,31,Car,2009,Adult,Noon
3,2009-01-21,1425,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,42,Car,2009,Adult,Noon
1,2009-01-22,615,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Pedestrian,Slight,Female,52,Car,2009,Adult,Daytime
2,2009-01-22,1714,Wet / Damp,Darkness: street lights present and lit,Other,Driver,Slight,Female,67,Car,2009,Elderly,Noon
2,2009-01-22,1714,Wet / Damp,Darkness: street lights present and lit,Other,Driver,Slight,Female,64,Car,2009,Adult,Noon
2,2009-01-22,2000,Dry,Darkness: street lighting unknown,Unknown,Driver,Slight,Male,29,Car,2009,Adult,Night
2,2009-01-22,1530,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,19,Car,2009,Adult,Noon
1,2009-01-22,1540,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,86,Pedal cycle,2009,Elderly,Noon
2,2009-01-23,800,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Female,47,Car,2009,Adult,Daytime
2,2009-01-23,730,Wet / Damp,Darkness: street lighting unknown,Unknown,Driver,Slight,Male,44,Pedal cycle,2009,Adult,Daytime
1,2009-01-23,1600,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,5,Car,2009,Child,Noon
1,2009-01-23,2230,Wet / Damp,Darkness: no street lighting,Fine without high winds,Passenger,Slight,Female,18,Car,2009,Adult,Night
2,2009-01-23,722,Wet / Damp,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,50,Car,2009,Adult,Daytime
2,2009-01-23,1330,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,52,Car,2009,Adult,Noon
2,2009-01-23,1330,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,59,Goods vehicle 7.5 tonnes mgw and over,2009,Adult,Noon
2,2009-01-23,1325,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,45,Pedal cycle,2009,Adult,Noon
3,2009-01-23,1435,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,26,Car,2009,Adult,Noon
3,2009-01-23,1435,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,43,Car,2009,Adult,Noon
3,2009-01-23,1435,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,43,Car,2009,Adult,Noon
3,2009-01-23,1435,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,37,Car,2009,Adult,Noon
3,2009-01-23,1435,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,29,Car,2009,Adult,Noon
2,2009-01-23,25,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Serious,Male,38,Motorcycle over 500cc,2009,Adult,Midnight
1,2009-01-24,1148,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,86,Bus or coach (17 or more passenger seats),2009,Elderly,Daytime
